Major Group,Sub-Major Group,Minor Group,Unit   Group,Group Title
5.0,54.0,541.0,5412.0,Upholsterers
5.0,54.0,541.0,5413.0,Footwear and leather working trades
5.0,54.0,541.0,5414.0,Tailors and dressmakers
5.0,54.0,541.0,5419.0,"Textiles, garments and related trades n.e.c."
5.0,54.0,542.0,,Printing Trades
5.0,54.0,542.0,5421.0,Pre-press technicians
5.0,54.0,542.0,5422.0,Printers
5.0,54.0,542.0,5423.0,Print finishing and binding workers
5.0,54.0,543.0,,Food Preparation and Hospitality Trades
5.0,54.0,543.0,5431.0,Butchers
5.0,54.0,543.0,5432.0,Bakers and flour confectioners
5.0,54.0,543.0,5433.0,Fishmongers and poultry dressers
5.0,54.0,543.0,5434.0,Chefs
5.0,54.0,543.0,5435.0,Cooks
5.0,54.0,543.0,5436.0,Catering and bar managers
5.0,54.0,544.0,,Other Skilled Trades
5.0,54.0,544.0,5441.0,"Glass and ceramics makers, decorators and finishers"
5.0,54.0,544.0,5442.0,Furniture makers and other craft woodworkers
5.0,54.0,544.0,5443.0,Florists
5.0,54.0,544.0,5449.0,Other skilled trades n.e.c.
6.0,,,,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS"
6.0,61.0,,,CARING PERSONAL SERVICE OCCUPATIONS
6.0,61.0,612.0,,Childcare and Related Personal Services
6.0,61.0,612.0,6121.0,Nursery nurses and assistants
6.0,61.0,612.0,6122.0,Childminders and related occupations
6.0,61.0,612.0,6123.0,Playworkers
6.0,61.0,612.0,6125.0,Teaching assistants
6.0,61.0,612.0,6126.0,Educational support assistants
6.0,61.0,613.0,,Animal Care and Control Services
6.0,61.0,613.0,6131.0,Veterinary nurses
6.0,61.0,613.0,6132.0,Pest control officers
6.0,61.0,613.0,6139.0,Animal care services occupations n.e.c.
6.0,61.0,614.0,,Caring Personal Services
6.0,61.0,614.0,6141.0,Nursing auxiliaries and assistants
6.0,61.0,614.0,6142.0,Ambulance staff (excluding paramedics)
6.0,61.0,614.0,6143.0,Dental nurses
6.0,61.0,614.0,6144.0,Houseparents and residential wardens
6.0,61.0,614.0,6145.0,Care workers and home carers
6.0,61.0,614.0,6146.0,Senior care workers
6.0,61.0,614.0,6147.0,Care escorts
6.0,61.0,614.0,6148.0,"Undertakers, mortuary and crematorium assistants"
6.0,62.0,614.0,,"LEISURE, TRAVEL AND RELATED PERSONAL SERVICE OCCUPATIONS"
6.0,62.0,621.0,,Leisure and Travel Services
6.0,62.0,621.0,6211.0,Sports and leisure assistants
6.0,62.0,621.0,6212.0,Travel agents
6.0,62.0,621.0,6214.0,Air travel assistants
6.0,62.0,621.0,6215.0,Rail travel assistants
6.0,62.0,621.0,6219.0,Leisure and travel service occupations n.e.c.
6.0,62.0,622.0,,Hairdressers and Related Services
6.0,62.0,622.0,6221.0,Hairdressers and barbers
6.0,62.0,622.0,6222.0,Beauticians and related occupations
6.0,62.0,623.0,,Housekeeping and Related Services
6.0,62.0,623.0,6231.0,Housekeepers and related occupations
6.0,62.0,623.0,6232.0,Caretakers
6.0,62.0,624.0,,Cleaning and Housekeeping Managers and Supervisors
6.0,62.0,624.0,6240.0,Cleaning and housekeeping managers and supervisors
7.0,,,,SALES AND CUSTOMER SERVICE OCCUPATIONS
7.0,71.0,,,SALES OCCUPATIONS
7.0,71.0,711.0,,Sales Assistants and Retail Cashiers
7.0,71.0,711.0,7111.0,Sales and retail assistants
7.0,71.0,711.0,7112.0,Retail cashiers and check-out operators
7.0,71.0,711.0,7113.0,Telephone salespersons
7.0,71.0,711.0,7114.0,Pharmacy and other dispensing assistants
7.0,71.0,711.0,7115.0,Vehicle and parts salespersons and advisers
7.0,71.0,712.0,,Sales Related Occupations
7.0,71.0,712.0,7121.0,Collector salespersons and credit agents
7.0,71.0,712.0,7122.0,"Debt, rent and other cash collectors"
7.0,71.0,712.0,7123.0,Roundspersons and van salespersons
7.0,71.0,712.0,7124.0,Market and street traders and assistants
7.0,71.0,712.0,7125.0,Merchandisers and window dressers
7.0,71.0,712.0,7129.0,Sales related occupations n.e.c.
7.0,71.0,713.0,,Sales Supervisors
7.0,71.0,713.0,7130.0,Sales supervisors
7.0,72.0,713.0,,CUSTOMER SERVICE OCCUPATIONS
7.0,72.0,721.0,,Customer Service Occupations
7.0,72.0,721.0,7211.0,Call and contact centre occupations
7.0,72.0,721.0,7213.0,Telephonists
7.0,72.0,721.0,7214.0,Communication operators
7.0,72.0,721.0,7215.0,Market research interviewers
7.0,72.0,721.0,7219.0,Customer service occupations n.e.c.
7.0,72.0,722.0,,Customer Service Managers and Supervisors
7.0,72.0,722.0,7220.0,Customer service managers and supervisors
8.0,,,,"PROCESS, PLANT AND MACHINE OPERATIVES"
8.0,81.0,,,"PROCESS, PLANT AND MACHINE OPERATIVES"
8.0,81.0,811.0,,Process Operatives
8.0,81.0,811.0,8111.0,"Food, drink and tobacco process operatives"
8.0,81.0,811.0,8112.0,Glass and ceramics process operatives
8.0,81.0,811.0,8113.0,Textile process operatives
8.0,81.0,811.0,8114.0,Chemical and related process operatives
8.0,81.0,811.0,8115.0,Rubber process operatives
8.0,81.0,811.0,8116.0,Plastics process operatives
8.0,81.0,811.0,8117.0,Metal making and treating process operatives
8.0,81.0,811.0,8118.0,Electroplaters
8.0,81.0,811.0,8119.0,Process operatives n.e.c.
8.0,81.0,812.0,,Plant and Machine Operatives
8.0,81.0,812.0,8121.0,Paper and wood machine operatives
8.0,81.0,812.0,8122.0,Coal mine operatives
8.0,81.0,812.0,8123.0,Quarry workers and related operatives
8.0,81.0,812.0,8124.0,Energy plant operatives
8.0,81.0,812.0,8125.0,Metal working machine operatives
8.0,81.0,812.0,8126.0,Water and sewerage plant operatives
8.0,81.0,812.0,8127.0,Printing machine assistants
8.0,81.0,812.0,8129.0,Plant and machine operatives n.e.c.
8.0,81.0,813.0,,Assemblers and Routine Operatives
8.0,81.0,813.0,8131.0,Assemblers (electrical and electronic products)
8.0,81.0,813.0,8132.0,Assemblers (vehicles and metal goods)
8.0,81.0,813.0,8133.0,Routine inspectors and testers
8.0,81.0,813.0,8134.0,"Weighers, graders and sorters"
8.0,81.0,813.0,8135.0,"Tyre, exhaust and windscreen fitters"
8.0,81.0,813.0,8137.0,Sewing machinists
8.0,81.0,813.0,8139.0,Assemblers and routine operatives n.e.c.
8.0,81.0,814.0,,Construction Operatives
8.0,81.0,814.0,8141.0,"Scaffolders, stagers and riggers"
8.0,81.0,814.0,8142.0,Road construction operatives
8.0,81.0,814.0,8143.0,Rail construction and maintenance operatives
8.0,81.0,814.0,8149.0,Construction operatives n.e.c.
8.0,82.0,814.0,,TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVES
8.0,82.0,821.0,,Road Transport Drivers
8.0,82.0,821.0,8211.0,Large goods vehicle drivers
8.0,82.0,821.0,8212.0,Van drivers
8.0,82.0,821.0,8213.0,Bus and coach drivers
8.0,82.0,821.0,8214.0,Taxi and cab drivers and chauffeurs
8.0,82.0,821.0,8215.0,Driving instructors
8.0,82.0,822.0,,Mobile Machine Drivers and Operatives
8.0,82.0,822.0,8221.0,Crane drivers
